,state,year,month,satellite,count,vis_median
0,karnataka,1993,1,F10,487878,-0.5106
1,delhi,1993,1,F10,2977,14.4421
2,himachal-pradesh,1993,1,F10,363720,0.241
3,gujarat,1993,1,F10,393956,-0.1771
4,kerala,1993,1,F10,23400,0.6627
5,tripura,1993,1,F10,19964,-0.6567
6,uttar-pradesh,1993,1,F10,2031872,-0.4713
7,haryana,1993,1,F10,127445,1.241
8,maharashtra,1993,1,F10,884208,-0.2667
9,sikkim,1993,1,F10,10100,0.8229
10,uttarakhand,1993,1,F10,325424,-0.5443
11,chhattisgarh,1993,1,F10,460956,-0.9483
12,mizoram,1993,1,F10,16513,-1.2703
13,tamilnadu,1993,1,F10,279544,0.241
14,goa,1993,1,F10,6507,0.6627
15,rajasthan,1993,1,F10,804606,-0.5106
16,bihar,1993,1,F10,838115,-0.6567
17,west-bengal,1993,1,F10,851777,-0.3977
18,orissa,1993,1,F10,1066416,-1.1771
19,madhya-pradesh,1993,1,F10,1123530,-0.5106
20,assam,1993,1,F10,556041,0.241
21,jharkhand,1993,1,F10,659645,-0.759
22,manipur,1993,1,F10,49113,-0.7234
23,nagaland,1993,1,F10,27645,-0.5106
24,andhra-pradesh,1993,1,F10,559925,-0.3977
25,jammu-&-kashmir,1993,1,F10,134959,0.4421
26,punjab,1993,1,F10,255147,1.6627
27,meghalaya,1993,1,F10,140046,-0.7234
28,punjab,1993,2,F10,207357,1.2796
29,haryana,1993,2,F10,120785,0.7857
30,himachal-pradesh,1993,2,F10,288580,-1.2143
31,assam,1993,2,F10,451636,-1.8462
32,maharashtra,1993,2,F10,848420,-0.7255
33,goa,1993,2,F10,6882,0.1481
34,andhra-pradesh,1993,2,F10,589910,-0.6941
35,kerala,1993,2,F10,26302,0.4321
36,rajasthan,1993,2,F10,740541,-0.8519
37,tamilnadu,1993,2,F10,338915,-0.2626
38,delhi,1993,2,F10,2682,14.3065
39,uttar-pradesh,1993,2,F10,1863683,-1.0115
40,bihar,1993,2,F10,723864,-2.2143
41,meghalaya,1993,2,F10,103747,-2.4878
42,karnataka,1993,2,F10,559404,-1.1964
43,sikkim,1993,2,F10,8865,-1.6941
44,chhattisgarh,1993,2,F10,409245,-1.3973
45,tripura,1993,2,F10,15526,-2.3299
46,gujarat,1993,2,F10,363710,-0.6941
47,uttarakhand,1993,2,F10,283188,-1.7204
48,jharkhand,1993,2,F10,529652,-1.8519
49,mizoram,1993,2,F10,13857,-2.4878
50,west-bengal,1993,2,F10,709887,-1.7204
51,orissa,1993,2,F10,963801,-1.4878
52,madhya-pradesh,1993,2,F10,1033626,-1.2626
53,manipur,1993,2,F10,33681,-2.8293
54,jammu-&-kashmir,1993,2,F10,87486,-1.05
55,nagaland,1993,2,F10,20378,-1.8966
56,bihar,1993,3,F10,743632,-1.931
57,madhya-pradesh,1993,3,F10,965823,-1.4444
58,nagaland,1993,3,F10,25885,-2.1263
59,kerala,1993,3,F10,23827,0.4211
60,sikkim,1993,3,F10,10478,-0.5455
61,meghalaya,1993,3,F10,123688,-1.6364
62,karnataka,1993,3,F10,536396,-0.6296
63,tamilnadu,1993,3,F10,335067,-0.0625
64,jammu-&-kashmir,1993,3,F10,94942,-1.3519
65,goa,1993,3,F10,7166,0.6481
66,west-bengal,1993,3,F10,738797,-1.4615
67,orissa,1993,3,F10,906100,-1.425
68,punjab,1993,3,F10,201982,0.8737
69,haryana,1993,3,F10,110908,0.4189
70,maharashtra,1993,3,F10,801457,-0.5811
71,andhra-pradesh,1993,3,F10,548725,-0.6
72,assam,1993,3,F10,523292,-1.5455
73,manipur,1993,3,F10,39768,-2.1789
74,himachal-pradesh,1993,3,F10,254726,-2.0625
75,jharkhand,1993,3,F10,577684,-1.5789
76,uttarakhand,1993,3,F10,244661,-2.7027
77,tripura,1993,3,F10,15390,-1.5789
78,uttar-pradesh,1993,3,F10,1705418,-1.4615
79,gujarat,1993,3,F10,377081,-0.7027
80,rajasthan,1993,3,F10,728670,-1.3519
81,delhi,1993,3,F10,2886,16.8737
82,mizoram,1993,3,F10,13363,-2.5789
83,chhattisgarh,1993,3,F10,372730,-1.1789
84,goa,1993,4,F10,6904,1.102
85,orissa,1993,4,F10,472350,-1.2833
86,west-bengal,1993,4,F10,423793,-0.898
