,States,score,beta
0,andhra-pradesh,0.8813425113065575,[1.48022504]
1,assam,0.13027479351370597,[1.52547549]
2,bihar,0.5373440414767422,[1.87245472]
3,jharkhand,0.4266844782717262,[1.88100335]
4,goa,0.8805342957044662,[0.72216548]
5,gujarat,0.7629620300572211,[1.92947205]
6,haryana,0.8396219625469882,[0.43740077]
7,himachal-pradesh,0.6859503801919662,[1.16369999]
8,jammu-&-kashmir,0.629379253517665,[1.58857759]
9,karnataka,0.755276182278307,[1.37261853]
10,kerala,0.6929416753917783,[0.73277437]
11,madhya-pradesh,0.3826303221649944,[2.38626893]
12,maharashtra,0.7072407049004739,[2.44210307]
13,manipur,0.03111175335024352,[0.76069012]
14,meghalaya,0.0432737011514438,[0.72392072]
15,orissa,0.5561469304136142,[2.2951884]
16,punjab,0.6821354740914573,[0.46818404]
17,rajasthan,0.8551065319311096,[1.51461585]
18,sikkim,0.7364698257189874,[1.34091758]
19,tamilnadu,0.6752382409011075,[0.81021562]
20,uttar-pradesh,0.7423067717213698,[2.22186261]
21,uttarakhand,0.6248645300902893,[1.47725105]
22,west-bengal,0.8911964038953615,[1.43285586]
23,delhi,0.889047627103536,[0.07675616]
